codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201704251803479,ACIDENTE,COM TREM DE POUSO,SÃO JOSÉ,SC,SSKT,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,VOO PRIVADO,NaN,0,2017-04-23 15:05:00
201108199861268,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,SÃO JOSÉ,SC,SSKT,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,POUSO,VOO DE INSTRUÇÃO,NaN,2,2011-08-19 19:50:00
201203164482319,INCIDENTE GRAVE,COM TREM DE POUSO,SÃO JOSÉ,SC,SSKT,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,TÁXI,VOO DE INSTRUÇÃO,NaN,0,2012-03-16 21:00:00
200908222373239,ACIDENTE,COM TREM DE POUSO,SÃO JOSÉ,SC,SSKT,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,3,2009-08-22 20:00:00
201202271485400,ACIDENTE,PERDA DE CONTROLE NO SOLO,SÃO JOSÉ,SC,SSKT,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,ARREMETIDA NO SOLO,VOO DE INSTRUÇÃO,NaN,0,2012-02-27 21:00:00
201305198144136,INCIDENTE,PERDA DE CONTROLE NO SOLO,SÃO JOSÉ,SC,SSKT,AVIÃO,PISTÃO,2.0,BRASIL,INSTRUÇÃO,TÁXI,VOO DE INSTRUÇÃO,NaN,0,2013-05-19 19:20:00
201409177063403,INCIDENTE,TRÁFEGO AÉREO,SANTA CRUZ DO SUL,RS,SSSC,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,CIRCUITO DE TRÁFEGO,TÁXI AÉREO,NaN,0,2014-09-17 15:45:00
201107104810162,INCIDENTE,PERDA DE CONTROLE NO SOLO,SANTA CRUZ DO SUL,RS,SSSC,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,DECOLAGEM,VOO DE INSTRUÇÃO,NaN,0,2011-07-10 17:10:00
201108253670977,INCIDENTE,VAZAMENTO DE COMBUSTÍVEL,SANTA CRUZ DO SUL,RS,NaN,AVIÃO,PISTÃO,2.0,BRASIL,ADMINISTRAÇÃO DIRETA,MANOBRA,OPERAÇÃO POLICIAL,NaN,0,2011-08-25 11:30:00
200907288327753,ACIDENTE,PERDA DE CONTROLE NO SOLO,SANTA CRUZ DO SUL,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,VOO DE INSTRUÇÃO,NaN,12,2009-07-28 18:00:00
