codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
200808187831811,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SALVADOR,BA,NaN,AVIÃO,JATO,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2008-08-18 07:50:00
201007216227102,INCIDENTE,OUTROS,SALVADOR,BA,SBSV,AVIÃO,JATO,2.0,BRASIL,REGULAR,TÁXI,VOO REGULAR,NaN,0,2010-07-21 19:16:00
201206111159374,INCIDENTE,OUTROS,SALVADOR,BA,SBSV,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,POUSO,VOO REGULAR,NaN,0,2012-06-11 19:30:00
201305241613608,INCIDENTE GRAVE,COM TREM DE POUSO,SALVADOR,BA,SBSV,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,DECOLAGEM,VOO DE INSTRUÇÃO,NaN,0,2013-05-24 10:30:00
201008177112236,INCIDENTE,POUSO BRUSCO,SALVADOR,BA,NaN,AVIÃO,JATO,2.0,BRASIL,REGULAR,POUSO,VOO REGULAR,NaN,0,2010-08-17 14:12:00
201611081914428,INCIDENTE,INCURSÃO EM PISTA,SALVADOR,BA,SBSV,AVIÃO,JATO,2.0,BRASIL,REGULAR,APROXIMAÇÃO FINAL,VOO REGULAR,NaN,0,2016-11-03 23:53:00
201510317599512,ACIDENTE,OPERAÇÃO A BAIXA ALTITUDE,SALVADOR,BA,NaN,AVIÃO,PISTÃO,1.0,BRASIL,EXPERIMENTAL,MANOBRA,VOO PRIVADO,1.0,5,2015-10-31 18:50:00
201012162807941,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SALVADOR,BA,SBSV,AVIÃO,JATO,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2010-12-16 19:30:00
200912262506130,INCIDENTE GRAVE,COM TREM DE POUSO,SALVADOR,BA,SBSV,AVIÃO,PISTÃO,2.0,BRASIL,NÃO REGULAR,CORRIDA APÓS POUSO,VOO REGULAR,NaN,0,2009-12-26 19:11:00
201601261854322,INCIDENTE,COM TREM DE POUSO,SALVADOR,BA,SBSV,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,NaN,0,2016-01-04 15:25:00
201209272073612,INCIDENTE,ESTOURO DE PNEU,SALVADOR,BA,SBSV,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,TÁXI,TÁXI AÉREO,NaN,0,2012-09-27 22:30:00
