codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201209236492794,ACIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,BELÉM,PA,SBBE,HELICÓPTERO,TURBOEIXO,2.0,BRASIL,TÁXI AÉREO,ESTACIONAMENTO,TÁXI AÉREO,NaN,3,2012-09-23 18:35:00
201206306828995,INCIDENTE,OUTROS,BELÉM,PA,SBJC,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,VOO DE INSTRUÇÃO,NaN,0,2012-06-30 15:51:00
201407036146894,INCIDENTE,OUTROS,BELÉM,PA,SBBE,AVIÃO,TURBOÉLICE,2.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,0,2014-07-03 19:58:00
201409043384038,INCIDENTE,COLISÃO DE VEÍCULO COM AERONAVE,EIRUNEPÉ,AM,SWEI,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,PARTIDA DO MOTOR,TÁXI AÉREO,NaN,0,2014-09-04 13:20:00
201710041347124,ACIDENTE,OUTROS,BELTERRA,PA,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,OUTRA FASE,VOO PRIVADO,NaN,0,2017-09-30 13:00:00
201610251344477,ACIDENTE,PERDA DE CONTROLE EM VOO,BENEVIDES,PA,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,CRUZEIRO,VOO EXPERIMENTAL,NaN,0,2016-10-23 10:30:00
201202247928121,ACIDENTE,FALHA DO MOTOR EM VOO,ENVIRA,AM,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,SUBIDA,VOO PRIVADO,NaN,4,2012-02-24 21:30:00
201306078790383,ACIDENTE,FALHA DO MOTOR EM VOO,ENVIRA,AM,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,1.0,3,2013-06-07 14:20:00
201101198665030,ACIDENTE,FALHA DO MOTOR EM VOO,ENVIRA,AM,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,1,2011-01-19 22:10:00
201307214370102,INCIDENTE,OUTROS,FONTE BOA,AM,SWOB,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,TÁXI,VOO REGULAR,NaN,0,2013-07-21 19:05:00
