codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201309149457415,INCIDENTE,ESTOURO DE PNEU,JARDIM,MS,SSJI,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,TÁXI,VOO PRIVADO,NaN,0,2013-09-14 13:53:00
201802281906213,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,JUARA,MT,NaN,AVIÃO,TURBOÉLICE,1.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,VOO PRIVADO,NaN,0,2018-01-25 12:30:00
201709051804055,INCIDENTE,FALHA DO MOTOR EM VOO,JUARA,MT,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,DESCIDA,VOO PRIVADO,NaN,0,2017-09-02 09:50:00
201709181817508,INCIDENTE GRAVE,POUSO BRUSCO,CATALÃO,GO,SWKT,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,0,2017-09-15 16:00:00
201312105548589,ACIDENTE,FALHA DO MOTOR EM VOO,JUÍNA,MT,SWJN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,APROXIMAÇÃO FINAL,VOO PRIVADO,NaN,0,2013-12-10 13:12:00
201104105225819,ACIDENTE,PERDA DE CONTROLE EM VOO,JUÍNA,MT,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,DECOLAGEM,VOO EXPERIMENTAL,NaN,0,2011-04-10 13:00:00
201512122689117,ACIDENTE,VOO CONTROLADO CONTRA O TERRENO,JUSCIMEIRA,MT,SWMO,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO AGRÍCOLA,NaN,5,2015-12-12 08:31:00
201212056020030,ACIDENTE,PERDA DE CONTROLE NO SOLO,JUSCIMEIRA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,0,2012-12-05 12:30:00
201604071915455,ACIDENTE,PERDA DE CONTROLE EM VOO,LUCAS DO RIO VERDE,MT,SDYF,AVIÃO,TURBOÉLICE,1.0,BRASIL,PARTICULAR,DECOLAGEM,OPERAÇÃO AGRÍCOLA,NaN,0,2016-04-04 12:30:00
201710161545544,ACIDENTE,PERDA DE CONTROLE EM VOO,LUCAS DO RIO VERDE,MT,SWSL,AVIÃO,PISTÃO,1.0,BRASIL,ESPECIALIZADA,SUBIDA,VOO PRIVADO,NaN,0,2017-10-10 11:30:00
